receivetime,time,aPrice0,aPrice1,aPrice2,aPrice3,aPrice4,aPrice5,aPrice6,aPrice7,aPrice8,aPrice9,aUnit0,aUnit1,aUnit2,aUnit3,aUnit4,aUnit5,aUnit6,aUnit7,aUnit8,aUnit9,bidPrice0,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidPrice6,bidPrice7,bidPrice8,bidPrice9,bidUnit0,bidUnit1,bidUnit2,bidUnit3,bidUnit4,bidUnit5,bidUnit6,bidUnit7,bidUnit8,bidUnit9,askOffers0,askOffers1,askOffers2,askOffers3,askOffers4,askOffers5,askOffers6,askOffers7,askOffers8,askOffers9,bidOffers0,bidOffers1,bidOffers2,bidOffers3,bidOffers4,bidOffers5,bidOffers6,bidOffers7,bidOffers8,bidOffers9
15:35:01.872843,17:30:52+02:00,133.82,133.84,133.86,133.88,133.9,133.98,134,134.02,134.04,134.1,26865,20842,10928,3938,99,7629,1037,12,2361,135,133.78,133.76,133.74,133.72,133.62,133.58,133.56,133.52,133.46,133.44,23503,21717,8456,49593,7629,12,2361,9,8,2302,5,7,6,2,1,1,8,1,2,1,4,6,4,3,1,1,2,1,1,1
15:35:01.877474,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:01.878799,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:02.931226,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:03.447001,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:03.888610,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:04.434513,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:04.928786,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:05.564430,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:05.959604,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:06.389202,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:17.594614,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:17.594834,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:17.594965,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:18.193038,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:18.479268,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:32.588669,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:33.217299,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:33.601529,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:49.284319,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:51.714374,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:52.180541,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:58.588988,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:58.635164,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:58.743649,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:58.806531,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:35:59.930507,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:36:00.323765,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:36:00.828185,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:36:07.740678,17:30:59+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:36:08.077505,17:36:07+02:00,,,None,None,None,None,None,None,None,None,24465,20842,9428,3938,99,7629,1037,2361,135,2302,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,3,7,5,2,1,1,8,2,1,1,3,5,4,3,1,2,1,1,2,1
15:36:08.077684,17:36:07+02:00,133.8,,,None,None,None,None,None,None,None,10398,None,None,None,None,None,None,None,None,None,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,2,None,None,None,None,None,None,None,None,None,3,5,4,3,1,2,1,1,2,1
15:36:08.582764,17:36:08+02:00,133.8,,,None,None,None,None,None,None,None,10398,None,None,None,None,None,None,None,None,None,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,2,None,None,None,None,None,None,None,None,None,3,5,4,3,1,2,1,1,2,1
15:36:08.582982,17:36:08+02:00,,,None,None,None,None,None,None,None,None,10398,None,None,None,None,None,None,None,None,None,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,2,None,None,None,None,None,None,None,None,None,3,5,4,3,1,2,1,1,2,1
15:45:00.044607,17:36:08+02:00,,,None,None,None,None,None,None,None,None,10398,None,None,None,None,None,None,None,None,None,,,None,None,None,None,None,None,None,None,21303,20217,8456,49593,7629,2361,9,2302,3201,1126,2,None,None,None,None,None,None,None,None,None,3,5,4,3,1,2,1,1,2,1
