receivetime,time,aPrice0,aPrice1,aPrice2,aPrice3,aPrice4,aPrice5,aPrice6,aPrice7,aPrice8,aPrice9,aUnit0,aUnit1,aUnit2,aUnit3,aUnit4,aUnit5,aUnit6,aUnit7,aUnit8,aUnit9,bidPrice0,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidPrice6,bidPrice7,bidPrice8,bidPrice9,bidUnit0,bidUnit1,bidUnit2,bidUnit3,bidUnit4,bidUnit5,bidUnit6,bidUnit7,bidUnit8,bidUnit9,askOffers0,askOffers1,askOffers2,askOffers3,askOffers4,askOffers5,askOffers6,askOffers7,askOffers8,askOffers9,bidOffers0,bidOffers1,bidOffers2,bidOffers3,bidOffers4,bidOffers5,bidOffers6,bidOffers7,bidOffers8,bidOffers9
15:35:04.294257,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:16.573641,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:17.484396,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:19.508174,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:24.304953,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:24.440914,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:26.065773,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:26.943027,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:27.605302,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:30.027887,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:31.112083,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:33.675728,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:34.163790,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:34.967729,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:36.685745,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:38.171673,17:30:30+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:41.322032,17:35:41+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.64,152.76,152.8,152.88,337,909,17,625,5,5,2,12,5,12,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.28,152.16,84,879,17,5,5,5,5,5,12,12,3,2,3,2,4,2,2,1,1,1,3,2,3,2,2,2,2,1,1,1
15:35:41.323386,17:35:41+02:00,,,None,None,None,None,None,None,None,None,337,909,17,625,5,5,2,12,5,12,152.58,,,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,3,2,3,2,4,2,2,1,1,1,1,None,None,None,None,None,None,None,None,None
15:35:41.323478,17:35:41+02:00,,,None,None,None,None,None,None,None,None,337,909,17,625,5,5,2,12,5,12,152.58,,,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,3,2,3,2,4,2,2,1,1,1,1,None,None,None,None,None,None,None,None,None
15:35:41.821368,17:35:41+02:00,,,None,None,None,None,None,None,None,None,337,909,17,625,5,5,2,12,5,12,152.58,,,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,3,2,3,2,4,2,2,1,1,1,1,None,None,None,None,None,None,None,None,None
15:35:41.822237,17:35:41+02:00,,,None,None,None,None,None,None,None,None,337,909,17,625,5,5,2,12,5,12,,,None,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,3,2,3,2,4,2,2,1,1,1,1,None,None,None,None,None,None,None,None,None
15:45:00.580618,17:35:41+02:00,,,None,None,None,None,None,None,None,None,337,909,17,625,5,5,2,12,5,12,,,None,None,None,None,None,None,None,None,49,None,None,None,None,None,None,None,None,None,3,2,3,2,4,2,2,1,1,1,1,None,None,None,None,None,None,None,None,None
