timeutc,isin,bidPrice,askPrice,bidUnits,askUnits,dateTimeBidAsk,lastPrice,dateTimeLastPrice,changeToPrevDayPercent,changeToPrevDayAbsolute,currentValidVolume
15:35:04.493792,DE0007164600,0.0,0.0,0.0,0.0,2023-04-19T17:30:00+02:00,115.98,2023-04-19T17:29:58+02:00,-0.6339958876,-0.74,99426226.88
15:35:04.496152,DE0005933931,0.0,0.0,0.0,0.0,2023-04-19T17:30:59+02:00,133.82,2023-04-19T17:29:33+02:00,0.1496781918,0.2,16498630.16
15:35:04.501966,US0378331005,152.48,152.5,8.0,8.0,2023-04-19T17:30:10+02:00,152.48,2023-04-19T17:29:13+02:00,0.6335797254,0.96,5748779.38
15:35:08.397589,DE0007164600,0.0,116.02,0.0,2134.0,2023-04-19T17:35:08+02:00,115.98,2023-04-19T17:29:58+02:00,-0.6339958876,-0.74,99426226.88
15:35:08.405274,DE0007164600,0.0,116.02,0.0,2134.0,2023-04-19T17:35:08+02:00,116.02,2023-04-19T17:35:08+02:00,-0.5997258397,-0.7,158454186.36
15:35:43.756734,US0378331005,152.58,152.5,49.0,8.0,2023-04-19T17:35:41+02:00,152.48,2023-04-19T17:29:13+02:00,0.6335797254,0.96,5748779.38
15:35:43.763654,US0378331005,152.58,152.5,49.0,8.0,2023-04-19T17:35:41+02:00,152.58,2023-04-19T17:35:41+02:00,0.6995776135,1.06,5790433.08
15:35:44.205979,US0378331005,0.0,152.5,0.0,8.0,2023-04-19T17:35:41+02:00,152.58,2023-04-19T17:35:41+02:00,0.6995776135,1.06,5790433.08
15:35:50.775920,DE0007164600,0.0,116.02,0.0,1734.0,2023-04-19T17:35:50+02:00,116.02,2023-04-19T17:35:50+02:00,-0.5997258397,-0.7,158500594.36
15:36:07.746243,DE0005933931,0.0,0.0,0.0,0.0,2023-04-19T17:30:59+02:00,133.8,2023-04-19T17:36:07+02:00,0.1347103726,0.18,18066498.56
15:36:08.097591,DE0005933931,0.0,133.8,0.0,10398.0,2023-04-19T17:36:07+02:00,133.8,2023-04-19T17:36:07+02:00,0.1347103726,0.18,18066498.56
15:36:08.593008,DE0005933931,0.0,0.0,0.0,0.0,2023-04-19T17:36:08+02:00,133.8,2023-04-19T17:36:07+02:00,0.1347103726,0.18,18066498.56
15:36:23.174146,DE0007164600,0.0,116.02,0.0,734.0,2023-04-19T17:36:18+02:00,116.02,2023-04-19T17:36:18+02:00,-0.5997258397,-0.7,158616614.36
15:36:23.269774,DE0007164600,0.0,116.02,0.0,734.0,2023-04-19T17:36:18+02:00,116.02,2023-04-19T17:36:18+02:00,-0.5997258397,-0.7,158701773.04
15:36:23.529930,DE0007164600,116.02,0.0,266.0,0.0,2023-04-19T17:36:18+02:00,116.02,2023-04-19T17:36:18+02:00,-0.5997258397,-0.7,158701773.04
15:37:35.499768,DE0007164600,116.02,0.0,2265.0,0.0,2023-04-19T17:37:35+02:00,116.02,2023-04-19T17:37:35+02:00,-0.5997258397,-0.7,158701889.06
15:41:12.249560,DE0007164600,0.0,0.0,0.0,0.0,2023-04-19T17:41:12+02:00,116.02,2023-04-19T17:37:35+02:00,-0.5997258397,-0.7,158701889.06
15:41:12.775581,DE0007164600,116.02,0.0,400.0,0.0,2023-04-19T17:41:12+02:00,116.02,2023-04-19T17:37:35+02:00,-0.5997258397,-0.7,158701889.06
