receivetime,time,aPrice0,aPrice1,aPrice2,aPrice3,aPrice4,aPrice5,aPrice6,aPrice7,aPrice8,aPrice9,aUnit0,aUnit1,aUnit2,aUnit3,aUnit4,aUnit5,aUnit6,aUnit7,aUnit8,aUnit9,bidPrice0,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,bidPrice6,bidPrice7,bidPrice8,bidPrice9,bidUnit0,bidUnit1,bidUnit2,bidUnit3,bidUnit4,bidUnit5,bidUnit6,bidUnit7,bidUnit8,bidUnit9,askOffers0,askOffers1,askOffers2,askOffers3,askOffers4,askOffers5,askOffers6,askOffers7,askOffers8,askOffers9,bidOffers0,bidOffers1,bidOffers2,bidOffers3,bidOffers4,bidOffers5,bidOffers6,bidOffers7,bidOffers8,bidOffers9
00:15:08.699584,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
00:55:09.836564,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
01:35:10.965719,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
01:35:10.970913,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
02:15:11.983914,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
04:55:01.519597,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
04:55:01.524511,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
06:15:03.676138,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
06:55:04.751070,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
06:55:04.756218,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
07:35:05.835395,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
08:15:06.927280,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
09:35:09.114996,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
10:15:10.219093,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
10:55:11.331370,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
12:15:13.573298,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
13:35:00.799753,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
14:15:01.851188,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
14:15:01.856333,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
14:55:03.004198,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
15:35:04.015307,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
15:35:04.020622,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
16:55:06.174704,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
17:35:07.275765,17:30:19+02:00,152.52,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,818,912,1022,575,7,5,12,12,3,174,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,152.28,781,1701,17,7,525,35,4,5,5,1625,3,2,2,2,3,1,2,1,1,1,4,6,3,2,3,2,3,1,1,3
18:15:08.318910,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
18:15:08.323710,17:30:27+02:00,152.54,152.56,152.58,152.6,152.62,152.76,152.88,153.14,153.16,153.34,8,947,12,12,5,12,12,3,174,7,152.48,152.46,152.44,152.42,152.4,152.38,152.36,152.34,152.32,152.3,1042,1377,1676,7,7,525,35,4,5,5,1,2,2,2,1,2,1,1,1,1,3,5,5,2,2,3,2,3,1,1
