timeutc,isin,bidPrice,askPrice,bidUnits,askUnits,dateTimeBidAsk,lastPrice,dateTimeLastPrice,changeToPrevDayPercent,changeToPrevDayAbsolute,currentValidVolume
00:15:06.691947,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
00:15:06.692694,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
00:15:06.695374,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
00:55:07.655610,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
00:55:07.656689,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
00:55:07.658100,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
01:35:08.749089,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
01:35:08.750264,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
01:35:08.751629,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
02:15:09.954663,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
02:15:09.958981,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
02:15:09.963840,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
02:55:11.085466,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
02:55:11.086487,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
02:55:11.089181,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
03:35:12.181316,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
03:35:12.186520,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
03:35:12.188735,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
04:15:13.395170,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
04:15:13.396855,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
04:15:13.399304,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
04:55:14.371895,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T17:30:30+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
04:55:14.374348,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T17:45:00+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
04:55:14.376894,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T17:36:26+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
05:15:26.740712,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T23:57:24+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
05:15:26.741078,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T23:57:28+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
05:15:26.744167,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T23:57:25+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
05:55:12.800686,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T23:57:25+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
05:55:12.818785,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T23:57:28+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
05:55:12.822665,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T23:57:24+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
06:35:13.884651,DE0005933931,0.0,0.0,0.0,0.0,2023-04-27T23:57:25+02:00,132.94,2023-04-27T17:36:25+02:00,0.0300978179,0.04,41531060.24
06:35:13.888650,US0378331005,0.0,0.0,0.0,0.0,2023-04-27T23:57:24+02:00,151.26,2023-04-27T17:35:59+02:00,1.5849563465,2.36,9688111.1
06:35:13.894105,DE0007164600,0.0,0.0,0.0,0.0,2023-04-27T23:57:28+02:00,123.62,2023-04-27T17:35:15+02:00,1.5776499589,1.92,205270090.74
07:15:05.916361,US0378331005,152.54,152.58,89.0,73.0,2023-04-28T09:14:57+02:00,152.6,2023-04-28T09:14:38+02:00,0.8858918418,1.34,459899.82
07:15:05.925567,DE0007164600,124.04,124.08,116.0,358.0,2023-04-28T09:15:02+02:00,124.04,2023-04-28T09:15:02+02:00,0.3397508493,0.42,13779442.72
